conn_id,tipification_group,tipification_detail,repeat_contact_flag
c00636,General Support,Other,1
c00637,Claims,Claim Follow-up,0
c00638,Retention,Cancellation Request,1
c00639,Technical Support,Connectivity Issue,0
c00640,Commercial,Plan Change Request,0
c00641,Commercial,Plan Change Request,0
c00642,Commercial,Plan Change Request,0
c00643,Commercial,Portability Inquiry,0
c00644,Retention,Cancellation Request,0
c00645,Technical Support,Connectivity Issue,1
c00646,Commercial,Portability Inquiry,0
c00647,Billing,Incorrect Charge,0
c00648,Claims,Claim Follow-up,1
c00649,Digital Channels,Payment App Issue,0
c00650,Billing,Incorrect Charge,0
c00651,General Support,Other,0
c00652,Claims,Claim Follow-up,0
c00653,Commercial,Portability Inquiry,0
c00654,Retention,Cancellation Request,0
c00655,Billing,Incorrect Charge,0
c00656,Billing,Incorrect Charge,1
c00657,General Support,Other,0
c00658,General Support,Other,1
c00659,Technical Support,Connectivity Issue,0
c00660,Claims,Claim Follow-up,0
c00661,Billing,Incorrect Charge,0
c00662,Technical Support,Connectivity Issue,0
c00663,Retention,Cancellation Request,0
c00664,Technical Support,Connectivity Issue,0
c00665,Billing,Incorrect Charge,0
c00666,Claims,Claim Follow-up,0
c00667,Digital Channels,Payment App Issue,0
c00668,Technical Support,Connectivity Issue,0
c00669,Claims,Claim Follow-up,1
c00670,Billing,Incorrect Charge,0
c00671,Claims,Claim Follow-up,1
c00672,Digital Channels,Payment App Issue,0
c00673,Commercial,Portability Inquiry,0
c00674,Retention,Cancellation Request,0
c00675,Commercial,Plan Change Request,0
c00676,General Support,Other,1
c00677,Billing,Incorrect Charge,0
c00678,Billing,Incorrect Charge,0
c00679,Commercial,Plan Change Request,1
c00680,Commercial,Plan Change Request,1
c00681,General Support,Other,0
c00682,Billing,Incorrect Charge,0
c00683,Digital Channels,Payment App Issue,0
c00684,Digital Channels,Payment App Issue,1
c00685,Billing,Incorrect Charge,0
c00686,Commercial,Plan Change Request,0
c00687,Technical Support,Connectivity Issue,1
c00688,General Support,Other,0
c00689,Technical Support,Connectivity Issue,0
c00690,Technical Support,Connectivity Issue,0
c00691,Technical Support,Connectivity Issue,0
c00692,Billing,Incorrect Charge,0
c00693,Billing,Incorrect Charge,0
c00694,Technical Support,Connectivity Issue,0
c00695,Commercial,Plan Change Request,0
c00696,Billing,Incorrect Charge,1
c00697,Technical Support,Connectivity Issue,0
c00698,Technical Support,Connectivity Issue,0
c00699,Digital Channels,Payment App Issue,0
c00700,Commercial,Portability Inquiry,0
c00701,Commercial,Portability Inquiry,0
c00702,Technical Support,Connectivity Issue,0
c00703,General Support,Other,1
c00704,Technical Support,Connectivity Issue,0
c00705,Commercial,Plan Change Request,1
c00706,Commercial,Portability Inquiry,1
c00707,Claims,Claim Follow-up,0
c00708,Commercial,Plan Change Request,0
c00709,Retention,Cancellation Request,1
c00710,Technical Support,Connectivity Issue,0
c00711,Billing,Incorrect Charge,1
c00712,Commercial,Plan Change Request,0
c00713,Retention,Cancellation Request,0
c00714,Technical Support,Connectivity Issue,0
c00715,Retention,Cancellation Request,1
c00716,Technical Support,Connectivity Issue,0
c00717,Commercial,Plan Change Request,0
c00718,Technical Support,Connectivity Issue,0
c00719,Technical Support,Connectivity Issue,0
c00720,Commercial,Portability Inquiry,0
c00721,Billing,Incorrect Charge,1
c00722,Commercial,Plan Change Request,0
c00723,Digital Channels,Payment App Issue,0
c00724,Technical Support,Connectivity Issue,1
c00725,Technical Support,Connectivity Issue,0
c00726,Billing,Incorrect Charge,0
